
****** xsim v2025.2 (64-bit)
  **** SW Build 6299465 on Fri Nov 14 19:35:11 GMT 2025
  **** IP Build 6300035 on Fri Nov 14 10:48:45 MST 2025
  **** SharedData Build 6298862 on Thu Nov 13 04:50:51 MST 2025
  **** Start of session at: Thu May 14 09:32:23 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot/xsim_script.tcl
# xsim {YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot} -testplusarg max_cycles=250000000 -testplusarg dhrystone_runs=1000 -testplusarg profile_pc -autoloadwcfg -runall
Time resolution is 1 ps
run -all
Starting Dhrystone simulation (MAX_CYCLES=250000000)...
DHRYSTONE_RUNS=1000
Microseconds for one run through Dhrystone: 4
Dhrystones per Second:                      5174
PROFILE_PC_BEGIN cycles=415013
PROFILE_PC pc=00000a68 count=1000
PROFILE_PC pc=00000b80 count=1
PROFILE_PC pc=00000b84 count=1
PROFILE_PC pc=00000b88 count=1
PROFILE_PC pc=00000b8c count=1
PROFILE_PC pc=00000b90 count=1
PROFILE_PC pc=00000b94 count=1
PROFILE_PC pc=00000ba0 count=1
PROFILE_PC pc=00000dd8 count=1000
PROFILE_PC pc=00000ddc count=1000
PROFILE_PC pc=00000de0 count=1000
PROFILE_PC pc=00000de4 count=1000
PROFILE_PC pc=00000de8 count=1000
PROFILE_PC pc=00000dec count=1000
PROFILE_PC pc=00000df0 count=1000
PROFILE_PC pc=00000df4 count=1000
PROFILE_PC pc=00000df8 count=1000
PROFILE_PC pc=00000dfc count=1000
PROFILE_PC pc=00000e00 count=1000
PROFILE_PC pc=00000e04 count=1000
PROFILE_PC pc=00000e08 count=1000
PROFILE_PC pc=00000e0c count=1000
PROFILE_PC pc=00000e10 count=4000
PROFILE_PC pc=00000e14 count=4000
PROFILE_PC pc=00000e18 count=4000
PROFILE_PC pc=00000e1c count=4000
PROFILE_PC pc=00000e20 count=1000
PROFILE_PC pc=00000e24 count=1000
PROFILE_PC pc=00000e28 count=1000
PROFILE_PC pc=00000e2c count=3000
PROFILE_PC pc=00000e30 count=3000
PROFILE_PC pc=00000e34 count=3000
PROFILE_PC pc=00000e38 count=3000
PROFILE_PC pc=00000e3c count=1000
PROFILE_PC pc=00000e40 count=3000
PROFILE_PC pc=00000e44 count=3000
PROFILE_PC pc=00000e48 count=3000
PROFILE_PC pc=00000e4c count=3000
PROFILE_PC pc=00000e50 count=3000
PROFILE_PC pc=00000e54 count=3000
PROFILE_PC pc=00000e58 count=3000
PROFILE_PC pc=00000e5c count=3000
PROFILE_PC pc=00000e60 count=3000
PROFILE_PC pc=00000e68 count=1000
PROFILE_PC pc=00000e6c count=1000
PROFILE_PC pc=00000e70 count=1000
PROFILE_PC pc=00000e74 count=1000
PROFILE_PC pc=00000e78 count=1000
PROFILE_PC pc=00000e7c count=1000
PROFILE_PC pc=00000e80 count=1000
PROFILE_PC pc=00000e84 count=1000
PROFILE_PC pc=00000e88 count=1000
PROFILE_PC pc=00000e8c count=1000
PROFILE_PC pc=00000e90 count=1000
PROFILE_PC pc=00000e94 count=1000
PROFILE_PC pc=00000e98 count=2000
PROFILE_PC pc=00000e9c count=2000
PROFILE_PC pc=00000ea0 count=2000
PROFILE_PC pc=00000ea4 count=2000
PROFILE_PC pc=00000ea8 count=2000
PROFILE_PC pc=00000eac count=2000
PROFILE_PC pc=00000eb0 count=2000
PROFILE_PC pc=00000eb4 count=2000
PROFILE_PC pc=00000ebc count=1000
PROFILE_PC pc=00000ec0 count=1000
PROFILE_PC pc=00000ec4 count=1000
PROFILE_PC pc=00000ec8 count=4000
PROFILE_PC pc=00000ecc count=3000
PROFILE_PC pc=00000ed0 count=3000
PROFILE_PC pc=00000ed4 count=4000
PROFILE_PC pc=00000ed8 count=4000
PROFILE_PC pc=00000edc count=1000
PROFILE_PC pc=00000ee0 count=1000
PROFILE_PC pc=00000ee4 count=2000
PROFILE_PC pc=00000ee8 count=2000
PROFILE_PC pc=00000eec count=2000
PROFILE_PC pc=00000ef0 count=2000
PROFILE_PC pc=00000ef4 count=2000
PROFILE_PC pc=00000ef8 count=1000
PROFILE_PC pc=00000fa4 count=1000
PROFILE_PC pc=00000fa8 count=1000
PROFILE_PC pc=00000fac count=1000
PROFILE_PC pc=00000fb0 count=1000
PROFILE_PC pc=00000fb4 count=1000
PROFILE_PC pc=00000fb8 count=1000
PROFILE_PC pc=00000fbc count=1000
PROFILE_PC pc=00000fc0 count=1000
PROFILE_PC pc=00000fc4 count=1000
PROFILE_PC pc=00000fc8 count=1000
PROFILE_PC pc=00000fcc count=1000
PROFILE_PC pc=00000fd0 count=1000
PROFILE_PC pc=00000fd4 count=1000
PROFILE_PC pc=00000fd8 count=2000
PROFILE_PC pc=00000fdc count=1000
PROFILE_PC pc=00000fe0 count=1000
PROFILE_PC pc=00000fe4 count=2000
PROFILE_PC pc=00000fe8 count=2000
PROFILE_PC pc=00000fec count=2000
PROFILE_PC pc=00000ff0 count=1000
PROFILE_PC_END

PASS: dhrystone completed at PC=00000070 in 458173 cycles
$finish called at time : 4581835 ns : File "D:/BaiduSyncdisk/02_icdc_workspace/.worktrees/coremark7-dmips5-20260508/YH_rv_cpu/tb/YH_rv_cpu_dhrystone_tb.v" Line 168
run: Time (s): cpu = 00:00:00 ; elapsed = 00:00:13 . Memory (MB): peak = 203.699 ; gain = 0.039
exit
INFO: xsimkernel Simulation Memory Usage: 13628 KB (Peak: 13628 KB), Simulation CPU Usage: 13140 ms
INFO: [Common 17-206] Exiting xsim at Thu May 14 09:32:38 2026...
